SimTime	Autoindex	Register	Registerwert
43	11	CANvelocity	75.6605
43	11	CANlaneid	0
43	12	CANvelocity	59.9395
43	12	CANlaneid	0
43	13	CANvelocity	40.2936
43	13	CANlaneid	0
43	14	CANvelocity	23.8357
43	14	CANlaneid	0
43	15	CANvelocity	7.80959
43	15	CANlaneid	0
44	0	CANvelocity	118.8
44	0	CANlaneid	0
44	1	CANvelocity	119.317
44	1	CANlaneid	0
44	2	CANvelocity	118.204
44	2	CANlaneid	0
44	3	CANvelocity	119.963
44	3	CANlaneid	0
44	4	CANvelocity	119.284
44	4	CANlaneid	0
44	5	CANvelocity	117.926
44	5	CANlaneid	0
44	6	CANvelocity	117.837
44	6	CANlaneid	0
44	7	CANvelocity	118.784
44	7	CANlaneid	0
44	8	CANvelocity	118.434
44	8	CANlaneid	0
44	9	CANvelocity	107
44	9	CANlaneid	0
44	10	CANvelocity	90.7764
44	10	CANlaneid	0
44	11	CANvelocity	81.7445
44	11	CANlaneid	0
44	12	CANvelocity	65.2238
44	12	CANlaneid	0
44	13	CANvelocity	48.1521
44	13	CANlaneid	0
44	14	CANvelocity	32.2618
44	14	CANlaneid	0
44	15	CANvelocity	15.2367
44	15	CANlaneid	0
45	0	CANvelocity	119.026
45	0	CANlaneid	0
45	1	CANvelocity	119.639
45	1	CANlaneid	0
45	2	CANvelocity	117.654
45	2	CANlaneid	0
45	3	CANvelocity	118.263
45	3	CANlaneid	0
45	4	CANvelocity	118.153
45	4	CANlaneid	0
45	5	CANvelocity	119.23
45	5	CANlaneid	0
45	6	CANvelocity	117.925
45	6	CANlaneid	0
45	7	CANvelocity	118.939
45	7	CANlaneid	0
45	8	CANvelocity	119.308
45	8	CANlaneid	0
45	9	CANvelocity	109.899
45	9	CANlaneid	0
45	10	CANvelocity	95.8086
45	10	CANlaneid	0
45	11	CANvelocity	87.8984
45	11	CANlaneid	0
45	12	CANvelocity	69.2411
45	12	CANlaneid	0
45	13	CANvelocity	53.3797
45	13	CANlaneid	0
45	14	CANvelocity	37.9662
45	14	CANlaneid	0
45	15	CANvelocity	20.9647
45	15	CANlaneid	0
45	16	CANvelocity	4.13449
45	16	CANlaneid	0
46	0	CANvelocity	118.213
46	0	CANlaneid	0
46	1	CANvelocity	118.426
46	1	CANlaneid	0
46	2	CANvelocity	119.234
46	2	CANlaneid	0
46	3	CANvelocity	119.225
46	3	CANlaneid	0
46	4	CANvelocity	118.059
46	4	CANlaneid	0
46	5	CANvelocity	119.287
46	5	CANlaneid	0
46	6	CANvelocity	118.054
46	6	CANlaneid	0
46	7	CANvelocity	119.719
46	7	CANlaneid	0
46	8	CANvelocity	119.065
46	8	CANlaneid	0
46	9	CANvelocity	114.907
46	9	CANlaneid	0
46	10	CANvelocity	101.54
46	10	CANlaneid	0
46	11	CANvelocity	92.1414
46	11	CANlaneid	0
46	12	CANvelocity	74.4
46	12	CANlaneid	0
46	13	CANvelocity	60.271
46	13	CANlaneid	0
46	14	CANvelocity	45.2349
46	14	CANlaneid	0
46	15	CANvelocity	26.4898
46	15	CANlaneid	0
46	16	CANvelocity	9.17453
46	16	CANlaneid	0
47	0	CANvelocity	119.384
47	0	CANlaneid	0
47	1	CANvelocity	117.778
47	1	CANlaneid	0
47	2	CANvelocity	119.501
47	2	CANlaneid	0
47	3	CANvelocity	119.477
47	3	CANlaneid	0
47	4	CANvelocity	118.28
47	4	CANlaneid	0
47	5	CANvelocity	118.538
47	5	CANlaneid	0
47	6	CANvelocity	117.84
47	6	CANlaneid	0
47	7	CANvelocity	119.466
47	7	CANlaneid	0
47	8	CANvelocity	119.168
47	8	CANlaneid	0
47	9	CANvelocity	119.052
47	9	CANlaneid	0
47	10	CANvelocity	107.077
47	10	CANlaneid	0
47	11	CANvelocity	96.5901
47	11	CANlaneid	0
47	12	CANvelocity	78.3018
47	12	CANlaneid	0
47	13	CANvelocity	65.7385
47	13	CANlaneid	0
47	14	CANvelocity	49.5707
47	14	CANlaneid	0
47	15	CANvelocity	30.9688
47	15	CANlaneid	0
47	16	CANvelocity	14.744
47	16	CANlaneid	0
48	0	CANvelocity	117.697
48	0	CANlaneid	0
48	1	CANvelocity	118.175
48	1	CANlaneid	0
48	2	CANvelocity	118.358
48	2	CANlaneid	0
48	3	CANvelocity	118.141
48	3	CANlaneid	0
48	4	CANvelocity	118.994
48	4	CANlaneid	0
48	5	CANvelocity	118.163
48	5	CANlaneid	0
48	6	CANvelocity	118.652
48	6	CANlaneid	0
48	7	CANvelocity	119.314
48	7	CANlaneid	0
48	8	CANvelocity	118.588
48	8	CANlaneid	0
48	9	CANvelocity	119.892
48	9	CANlaneid	0
48	10	CANvelocity	111.755
48	10	CANlaneid	0
48	11	CANvelocity	101.056
48	11	CANlaneid	0
48	12	CANvelocity	83.3149
48	12	CANlaneid	0
48	13	CANvelocity	70.0819
48	13	CANlaneid	0
48	14	CANvelocity	54.5354
48	14	CANlaneid	0
48	15	CANvelocity	36.6257
48	15	CANlaneid	0
48	16	CANvelocity	20.9125
48	16	CANlaneid	0
48	17	CANvelocity	0.713814
48	17	CANlaneid	0
49	0	CANvelocity	118.075
49	0	CANlaneid	0
49	1	CANvelocity	119.296
49	1	CANlaneid	0
49	2	CANvelocity	118.905
49	2	CANlaneid	0
49	3	CANvelocity	118.548
49	3	CANlaneid	0
49	4	CANvelocity	119.004
49	4	CANlaneid	0
49	5	CANvelocity	119.186
49	5	CANlaneid	0
49	6	CANvelocity	118.642
49	6	CANlaneid	0
49	7	CANvelocity	119.131
49	7	CANlaneid	0
49	8	CANvelocity	119.383
49	8	CANlaneid	0
49	9	CANvelocity	118.406
49	9	CANlaneid	0
49	10	CANvelocity	114.803
49	10	CANlaneid	0
49	11	CANvelocity	104.475
49	11	CANlaneid	0
49	12	CANvelocity	89.0432
49	12	CANlaneid	0
49	13	CANvelocity	74.3038
49	13	CANlaneid	0
49	14	CANvelocity	59.7493
49	14	CANlaneid	0
49	15	CANvelocity	42.1834
49	15	CANlaneid	0
49	16	CANvelocity	28.4217
49	16	CANlaneid	0
49	17	CANvelocity	7.14114
49	17	CANlaneid	0
50	0	CANvelocity	118.31
50	0	CANlaneid	0
50	1	CANvelocity	119.371
50	1	CANlaneid	0
50	2	CANvelocity	119.188
50	2	CANlaneid	0
50	3	CANvelocity	117.792
50	3	CANlaneid	0
50	4	CANvelocity	119.759
50	4	CANlaneid	0
50	5	CANvelocity	117.618
50	5	CANlaneid	0
50	6	CANvelocity	119.784
50	6	CANlaneid	0
50	7	CANvelocity	119.172
50	7	CANlaneid	0
